Teams,Points,Actual_Ranking,Massey_Rating,Massey_Scaled_Rating,Massey_Ranking,Keener_Rating,Keener_Scaled_Rating,Keener_Ranking
Manchester City,93,1,1.825,100.0,1,0.060257794531180464,100.0,1
Liverpool,92,2,1.7,96.26865671641791,2,0.049710015402522754,48.74986207157221,10
Chelsea,74,3,1.075,77.61194029850748,3,0.05348781011146597,67.10562185161831,6
Tottenham Hotspur,71,4,0.7249999999999998,67.16417910447761,4,0.052127018915989046,60.49373364185277,8
Arsenal,69,5,0.3249999999999998,55.22388059701493,5,0.04810634701288436,40.95786859522735,13
Manchester United,58,6,-1.951293217360073e-16,45.522388059701505,9,0.047583779192352404,38.41878690300112,14
West Ham United,56,7,0.22499999999999978,52.238805970149265,6,0.054980120473663026,74.35654272905936,4
Leicester City,52,8,0.07499999999999969,47.761194029850756,8,0.04626967582936585,32.03374813950529,17
Brighton & Hove Albion,51,9,-0.050000000000000315,44.029850746268664,11,0.04992058617327366,49.77299508498152,9
Wolverhampton Wanderers,51,10,-0.12500000000000033,41.79104477611941,12,0.05453630556785984,72.20011009431568,5
Newcastle United,49,11,-0.45000000000000034,32.089552238805986,14,0.047476906597590594,37.899508374743874,15
Crystal Palace,48,12,0.09999999999999978,48.50746268656717,7,0.04665839500795023,33.92247857980698,16
Brentford,46,13,-0.2000000000000003,39.55223880597016,13,0.039676817474322654,0.0,20
Aston Villa,45,14,-0.05000000000000028,44.02985074626867,10,0.05671303171372394,82.77650858040596,3
Southampton,40,15,-0.6000000000000004,27.611940298507477,17,0.04113836643571865,7.10145566635768,19
Everton,39,16,-0.5750000000000004,28.358208955223898,16,0.041813313842039276,10.38092779470216,18
Leeds United,38,17,-0.9250000000000003,17.910447761194053,18,0.049193355925961135,46.239488170788604,11
Burnley,35,18,-0.4750000000000001,31.343283582089576,15,0.04895755282091851,45.09375488324261,12
Watford,23,19,-1.0750000000000004,13.432835820895548,19,0.05822362128984277,90.11624552265909,2
Norwich City,22,20,-1.5250000000000012,0.0,20,0.05316918568137465,65.55747168745904,7
